formula,rsquared_adj,fvalue,f_pvalue,aic,bic,JB,JB-pval,skew,kurt,condition_number
dur ~ C(is_hol)  + scale(blizz) + C(dow) + C(dow):scale(hr) + C(dow):scale(I(hr**2)) + C(p_JFK) + C(p_LGA) + C(d_JFK) + C(d_LGA) + scale(p_lng) + scale(p_lat) + scale(d_lng) + scale(d_lat) + scale(clust_spd) + scale(total_time) + scale(day_min_temp) + scale(day_rainfall) + scale(day_snowfall) + scale(day_snowdepth) + scale(hr_temp) + scale(hr_humid) + scale(hr_dewpt) + scale(hr_windspeed) + scale(hr_gustspeed) + scale(hr_precip),0.6985253877812271,38641.20821316939,0.0,10174589.242540494,10175081.998202767,126483660.1231182,0.0,3.637527747933332,68.42982499348474,30.708677290249828
np.log(dur) ~ C(is_hol) + scale(blizz) + C(dow) + C(dow):scale(hr) + C(dow):scale(I(hr**2)) + C(p_JFK) + C(p_LGA) + C(d_JFK) + C(d_LGA) + scale(p_lng) + scale(p_lat) + scale(d_lng) + scale(d_lat) + scale(clust_spd) + scale(total_time) + scale(day_min_temp) + scale(day_rainfall) + scale(day_snowfall) + scale(day_snowdepth) + scale(hr_temp) + scale(hr_humid) + scale(hr_dewpt) + scale(hr_windspeed) + scale(hr_gustspeed) + scale(hr_precip),0.5930943491227825,122.53375499948724,0.0,5061.858242576935,5326.797368574426,24747.14240918644,0.0,-1.5971384060713063,15.623230902903478,30.978405281076324
np.log(dur) ~ C(is_hol) + np.log(scale(blizz)+1) + C(dow) + C(dow):np.log(scale(hr)+1) + C(dow):scale(I(hr**2)) + C(p_JFK) + C(p_LGA) + C(d_JFK) + C(d_LGA) + np.log(scale(p_lng)+1) + np.log(scale(p_lat)+1) + np.log(scale(d_lng)+1) + np.log(scale(d_lat)+1) + np.log(scale(clust_spd)+1) + np.log(scale(total_time)+1) + np.log(scale(day_min_temp)+1) + np.log(scale(day_rainfall)+1) + np.log(scale(day_snowfall)+1) + np.log(scale(day_snowdepth)+1) + np.log(scale(hr_temp)+1) + np.log(scale(hr_humid)+1) + np.log(scale(hr_dewpt)+1) + np.log(scale(hr_windspeed)+1) + np.log(scale(hr_gustspeed)+1) + np.log(scale(hr_precip)+1),0.6234195311685786,518.253146765878,0.0,12389.225492832244,12693.995053555942,6376.830749543864,0.0,0.4155298764537161,6.399093156385914,1.0263272676884524e+16
dur ~ C(is_hol) + np.log(scale(blizz)+1) + C(dow) + C(dow):np.log(scale(hr)+1) + C(dow):scale(I(hr**2)) + C(p_JFK) + C(p_LGA) + C(d_JFK) + C(d_LGA) + np.log(scale(p_lng)+1) + np.log(scale(p_lat)+1) + np.log(scale(d_lng)+1) + np.log(scale(d_lat)+1) + np.log(scale(clust_spd)+1) + np.log(scale(total_time)+1) + np.log(scale(day_min_temp)+1) + np.log(scale(day_rainfall)+1) + np.log(scale(day_snowfall)+1) + np.log(scale(day_snowdepth)+1) + np.log(scale(hr_temp)+1) + np.log(scale(hr_humid)+1) + np.log(scale(hr_dewpt)+1) + np.log(scale(hr_windspeed)+1) + np.log(scale(hr_gustspeed)+1) + np.log(scale(hr_precip)+1),0.5289742109585176,351.8894758189835,0.0,180884.97380198026,181189.74336270397,29005.859895745947,0.0,1.7223489237400726,9.620405077933706,1.0263272676884524e+16
np.log(dur) ~ C(is_hol) + scale(blizz) + C(dow) + C(dow):scale(hr) + C(dow):scale(I(hr**2)) + C(p_JFK) + C(p_LGA) + C(d_JFK) + C(d_LGA) + scale(p_lng) + scale(p_lat) + scale(d_lng) + scale(d_lat) + scale(clust_spd) + scale(total_time) + scale(day_min_temp) + scale(day_rainfall) + scale(day_snowfall) + scale(day_snowdepth) + scale(hr_temp) + scale(hr_humid) + scale(hr_dewpt) + scale(hr_windspeed) + scale(hr_gustspeed) + scale(hr_precip),0.5947844167743394,1224.8841047822061,0.0,49274.60766574297,49638.54690164635,138712.3486501903,0.0,-1.3806155459263045,12.350700825604417,30.81660297510973
np.log(dur) ~ C(is_hol) + scale(blizz) + C(dow) + C(dow):scale(hr) + C(dow):scale(I(hr**2)) + C(p_JFK) + C(p_LGA) + C(d_JFK) + C(d_LGA) + scale(p_lng) + scale(p_lat) + scale(d_lng) + scale(d_lat) + scale(clust_spd) + scale(total_time) + scale(day_min_temp) + scale(day_rainfall) + scale(day_snowfall) + scale(day_snowdepth) + scale(hr_temp) + scale(hr_humid) + scale(hr_dewpt) + scale(hr_windspeed) + scale(hr_gustspeed) + scale(hr_precip),0.5985310238070678,249.61740136351978,0.0,9709.983473702288,10004.721790429447,27916.62479398341,0.0,-1.3251383198679592,12.413918282955645,31.039343359470596
dur ~ C(is_hol)  + scale(blizz) + C(dow) + C(dow):scale(hr) + C(dow):scale(I(hr**2)) + C(p_JFK) + C(p_LGA) + C(d_JFK) + C(d_LGA) + scale(p_lng) + scale(p_lat) + scale(d_lng) + scale(d_lat) + scale(clust_spd) + scale(total_time) + scale(day_min_temp) + scale(day_rainfall) + scale(day_snowfall) + scale(day_snowdepth) + scale(hr_temp) + scale(hr_humid) + scale(hr_dewpt) + scale(hr_windspeed) + scale(hr_gustspeed) + scale(hr_precip),0.703696783634621,397.0463792908288,0.0,101823.88582699002,102118.62414371718,495793.7433317477,0.0,3.1441623193172386,43.732148408723944,31.039343359470596
dur ~ C(is_hol)  + scale(blizz) + C(dow) + C(dow):scale(hr) + C(dow):scale(I(hr**2)) + C(p_JFK) + C(p_LGA) + C(d_JFK) + C(d_LGA) + scale(p_lng) + scale(p_lat) + scale(d_lng) + scale(d_lat) + scale(clust_spd) + scale(total_time) + scale(day_min_temp) + scale(day_rainfall) + scale(day_snowfall) + scale(day_snowdepth) + scale(hr_temp) + scale(hr_humid) + scale(hr_dewpt) + scale(hr_windspeed) + scale(hr_gustspeed) + scale(hr_precip),0.7094662159299986,2037.1132511908027,0.0,506797.6506572792,507161.58989318256,671253.5327976791,0.0,2.352460167431336,23.92548336694874,30.81660297510973
dur ~ C(is_hol)  + C(dow) + C(dow):scale(hr) + C(dow):scale(I(hr**2)) + C(p_JFK) + C(p_LGA) + C(d_JFK) + C(d_LGA) + scale(p_lng) + scale(p_lat) + scale(d_lng) + scale(d_lat) + scale(clust_spd) + scale(total_time) + scale(day_min_temp) + scale(day_snowfall) + scale(day_snowdepth) + scale(hr_temp) + scale(hr_humid) + scale(hr_dewpt) + scale(hr_precip),0.7093199177215463,2249.844495974371,0.0,506811.28572224936,507141.37014551053,668085.040819116,0.0,2.35088131135865,23.874246821143796,29.938010875914472
dur ~ C(is_hol)  + C(dow) + C(dow):scale(hr) + C(dow):scale(I(hr**2)) + C(p_JFK) + C(p_LGA) + C(d_JFK) + C(d_LGA) + scale(p_lng) + scale(p_lat) + scale(d_lng) + scale(clust_spd) + scale(total_time) + scale(day_min_temp) + scale(day_snowfall) + scale(day_snowdepth) + scale(hr_temp) + scale(hr_humid) + scale(hr_dewpt),0.7092576661818075,2374.06376171429,0.0,506816.7871280662,507129.9441450063,666424.6030813472,0.0,2.352974385648648,23.846028282070733,29.709628922341135
dur ~ C(is_hol)  + C(dow) + C(dow):scale(hr) + C(dow):scale(I(hr**2)) + C(p_JFK) + C(p_LGA) + C(d_JFK) + C(d_LGA) + scale(p_lng) + scale(p_lat) + scale(d_lng) + scale(clust_spd) + scale(total_time) + scale(day_min_temp) + scale(day_snowfall) + scale(day_snowdepth) + scale(hr_temp) + scale(hr_humid) + scale(hr_dewpt),0.6971822547634016,1280.0007018650886,0.0,290832.993656513,291125.42269595683,2310616.1299200933,0.0,3.69077895988834,55.13685796613653,30.336698439270204
dur ~ C(is_hol)  + C(dow) + C(dow):scale(hr) + C(dow):scale(I(hr**2)) + C(p_JFK) + C(p_LGA) + C(d_JFK) + C(d_LGA) + scale(p_lng) + scale(p_lat) + scale(d_lng) + scale(clust_spd) + scale(total_time) + scale(day_min_temp) + scale(day_snowfall) + scale(day_snowdepth) + scale(hr_temp) + scale(hr_humid) + scale(hr_dewpt),0.6777074402976133,1169.147687429258,0.0,292240.8773363439,292533.30637578777,19717837.514881123,0.0,5.992311506951506,156.35505804854293,29.39974687184076
dur ~ C(is_hol)  + C(dow) + C(dow):scale(hr) + C(dow):scale(I(hr**2)) + C(p_JFK) + C(p_LGA) + C(d_JFK) + C(d_LGA) + scale(p_lng) + scale(p_lat) + scale(d_lng) + scale(clust_spd) + scale(total_time) + scale(day_min_temp) + scale(day_snowfall) + scale(day_snowdepth) + scale(hr_temp) + scale(hr_humid) + scale(hr_dewpt),0.6936042959330557,1258.5778578560712,0.0,290115.6540845127,290408.0831239565,856639.376212955,0.0,2.916520150512735,34.52685985476763,29.723831439967284
dur ~ C(is_hol)  + C(dow) + C(dow):scale(hr) + C(dow):scale(I(hr**2)) + C(p_JFK) + C(p_LGA) + C(d_JFK) + C(d_LGA) + scale(p_lng) + scale(p_lat) + scale(d_lng) + scale(clust_spd) + scale(total_time) + scale(day_min_temp) + scale(day_snowfall) + scale(day_snowdepth) + scale(hr_temp) + scale(hr_humid) + scale(hr_dewpt),0.7000488531569363,1297.5330782136596,0.0,290596.29154290754,290888.7205823514,699206.5031824263,0.0,2.7059398292621824,31.45627105543806,30.476162948186474
dur ~ C(is_hol)  + C(dow) + C(dow):scale(hr) + C(dow):scale(I(hr**2)) + C(p_JFK) + C(p_LGA) + C(d_JFK) + C(d_LGA) + scale(p_lng) + scale(p_lat) + scale(d_lng) + scale(clust_spd) + scale(total_time) + scale(day_min_temp) + scale(day_snowfall) + scale(day_snowdepth) + scale(hr_temp) + scale(hr_humid) + scale(hr_dewpt),0.7062997731782243,1336.951107987215,0.0,290047.7990707803,290340.2281102241,282860.9972653715,0.0,2.3179537541955795,20.83091580071221,29.474357052136188
dur ~ C(is_hol)  + C(dow) + C(dow):scale(hr) + C(dow):scale(I(hr**2)) + C(p_JFK) + C(p_LGA) + C(d_JFK) + C(d_LGA) + scale(p_lng) + scale(p_lat) + scale(d_lng) + scale(clust_spd) + scale(total_time) + scale(day_min_temp) + scale(day_snowfall) + scale(day_snowdepth) + scale(hr_temp) + scale(hr_humid) + scale(hr_dewpt),0.6987419458454509,19329.37996831253,0.0,4357604.941705668,4357997.568602553,37260783.05616955,0.0,3.4269553920536553,57.16536302340326,29.71356046350686
dur ~ C(is_hol)  + C(dow) + C(dow):scale(hr) + C(dow):scale(I(hr**2)) + C(p_JFK) + C(p_LGA) + C(d_JFK) + C(d_LGA) + scale(p_lng) + scale(p_lat) + scale(d_lng) + scale(clust_spd) + scale(total_time) + scale(day_snowdepth) + scale(hr_temp) + scale(hr_humid) + scale(hr_dewpt),0.6991868775445649,20509.66452785296,0.0,4357661.632973131,4358033.036794508,36459110.34538022,0.0,3.434785795560244,56.56806710891189,27.76405908433694
dur ~ C(is_hol)  + C(dow) + C(dow):scale(hr) + C(dow):scale(I(hr**2)) + C(p_JFK) + C(p_LGA) + C(d_JFK) + C(d_LGA) + scale(p_lng) + scale(p_lat) + scale(d_lng) + scale(clust_spd) + scale(total_time) + scale(day_snowdepth) + scale(hr_temp) + scale(hr_humid) + scale(hr_dewpt),0.6981336123135858,47644.33692145889,0.0,10175490.867957186,10175891.948147409,125644110.84231259,0.0,3.634438936711881,68.21030990677052,27.90316234073468
np.log(dur) ~ C(is_hol) + C(dow) + C(dow):scale(hr) + C(dow):scale(I(hr**2)) + C(p_JFK) + C(p_LGA) + C(d_JFK) + C(d_LGA) + scale(p_lng) + scale(p_lat) + scale(d_lng) + scale(clust_spd) + scale(total_time) + scale(day_snowdepth) + scale(hr_temp) + scale(hr_humid) + scale(hr_dewpt),0.5989698402058163,30769.498349980913,0.0,970657.217598182,971058.2977884054,2502614.1212768145,0.0,-1.246851168772011,11.918185484430085,27.90316234073468
np.log(dur) ~ C(is_hol) + C(dow) + C(dow):scale(hr) + C(dow):scale(I(hr**2)) + C(p_JFK) + C(p_LGA) + C(d_JFK) + C(d_LGA) + scale(p_lng) + scale(p_lat) + scale(d_lng) + scale(clust_spd) + np.log(scale(total_time)) + scale(day_snowdepth) + scale(hr_temp) + scale(hr_humid) + scale(hr_dewpt),0.5263741488365126,7981.397303042393,0.0,139154.39935728651,139518.59232958112,17045.419255900193,0.0,0.13054076206385337,4.267851004125582,34.23564928944825
np.log(dur) ~ C(is_hol) + C(dow) + C(dow):scale(hr) + C(dow):scale(I(hr**2)) + C(p_JFK) + C(p_LGA) + C(d_JFK) + C(d_LGA) + scale(p_lng) + scale(p_lat) + scale(d_lng) + scale(clust_spd) + np.log(scale(total_time+1)) + scale(day_snowdepth) + scale(hr_temp) + scale(hr_humid) + scale(hr_dewpt),0.5263741488365126,7981.397303042395,0.0,139154.39935728663,139518.59232958124,17045.41925590016,0.0,0.13054076206385468,4.26785100412558,34.23564928944825
np.log(dur+1) ~ C(is_hol) + C(dow) + C(dow):scale(hr) + C(dow):scale(I(hr**2)) + C(p_JFK) + C(p_LGA) + C(d_JFK) + C(d_LGA) + scale(p_lng) + scale(p_lat) + scale(d_lng) + scale(clust_spd) + np.log(scale(total_time+1)) + scale(day_snowdepth) + scale(hr_temp) + scale(hr_humid) + scale(hr_dewpt),0.5263988687833099,7982.188646036259,0.0,138710.7689362273,139074.96190852192,17004.782635837044,0.0,0.13182980564606814,4.26574035773544,34.23564928944825
dur ~ C(is_hol) + C(dow) + C(dow):scale(hr) + C(dow):scale(I(hr**2)) + C(p_JFK) + C(p_LGA) + C(d_JFK) + C(d_LGA) + scale(p_lng) + scale(p_lat) + scale(d_lng) + scale(clust_spd) + scale(total_time) + scale(day_snowdepth) + scale(hr_temp) + scale(hr_humid) + scale(hr_dewpt),0.6981336123135858,47644.33692145889,0.0,10175490.867957186,10175891.948147409,125644110.84231259,0.0,3.634438936711881,68.21030990677052,27.90316234073468
np.log(dur) ~ C(is_hol) + C(dow) + C(dow):scale(hr) + C(dow):scale(I(hr**2)) + C(p_JFK) + C(p_LGA) + C(d_JFK) + C(d_LGA) + scale(p_lng) + scale(p_lat) + scale(d_lng) + scale(clust_spd) + scale(total_dist) + scale(day_snowdepth) + scale(hr_temp) + scale(hr_humid) + scale(hr_dewpt),0.5099011495936259,21433.88771354259,0.0,1111140.5858680625,1111541.6660582859,2543783.146195598,0.0,-1.455135249736339,11.870939879452935,28.5445999019909
dur ~ C(is_hol)  + C(dow) + C(dow):scale(hr) + C(dow):scale(I(hr**2)) + C(p_JFK) + C(p_LGA) + C(d_JFK) + C(d_LGA) + scale(p_lng) + scale(p_lat) + scale(d_lng) + scale(clust_spd) + scale(total_dist) + scale(day_snowdepth) + scale(hr_temp) + scale(hr_humid) + scale(hr_dewpt),0.6651246189196435,40917.47236156485,0.0,10248176.129122894,10248577.209313117,93057703.98427764,0.0,2.949973616425622,59.15898720603871,28.5445999019909
dur ~ C(is_hol)  + C(dow) + C(dow):scale(hr) + C(dow):scale(I(hr**2)) + C(p_JFK) + C(p_LGA) + C(d_JFK) + C(d_LGA) + scale(p_lng) + scale(p_lat) + scale(d_lng) + scale(clust_spd) + scale(total_dist) + scale(total_time) + scale(day_snowdepth) + scale(hr_temp) + scale(hr_humid) + scale(hr_dewpt),0.7011988321371683,46963.16905907822,0.0,10168343.298551982,10168755.838176211,133334761.79876828,0.0,3.599219050560808,70.20807479290752,32.5364670043416
dur ~ C(is_hol)  + C(dow) + C(dow):scale(hr) + C(dow):scale(I(hr**2)) + C(p_JFK) + C(p_LGA) + C(d_JFK) + C(d_LGA) + scale(p_lng) + scale(p_lat) + scale(d_lng) + scale(total_time) + scale(day_snowdepth) + scale(hr_temp) + scale(hr_humid) + scale(hr_dewpt),0.687765081286835,46753.19549726448,0.0,10199143.966343967,10199533.587100184,110583329.27783144,0.0,3.5058101037716,64.15551922209983,24.910688674957086
dur ~ C(is_hol)  + C(dow) + C(dow):scale(hr) + C(dow):scale(I(hr**2)) + C(p_JFK) + C(p_LGA) + C(d_JFK) + C(d_LGA) + scale(p_lng) + scale(p_lat) + scale(clust_spd) + scale(total_time) + scale(day_snowdepth) + scale(hr_temp) + scale(hr_humid) + scale(hr_dewpt),0.6970292405187779,48831.77759931685,0.0,10178047.660137402,10178437.280893618,124450593.57588501,0.0,3.6376931669354664,67.89525209613994,26.68889282001622
dur ~ C(is_hol)  + C(dow) + C(dow):scale(hr) + C(dow):scale(I(hr**2)) + C(p_JFK) + C(p_LGA) + C(d_JFK) + C(d_LGA) + scale(clust_spd) + scale(total_time) + scale(day_snowdepth) + scale(hr_temp) + scale(hr_humid) + scale(hr_dewpt),0.6928614349679083,50970.17953466608,0.0,10187615.275018025,10187981.976906229,118730770.44724332,0.0,3.6046222677359783,66.37476530260413,24.796312236835877
dur ~ C(is_hol)  + C(dow) + C(dow):scale(hr) + C(dow):scale(I(hr**2)) + C(p_LGA) + C(d_JFK) + C(d_LGA) + scale(clust_spd) + scale(total_time) + scale(day_snowdepth) + scale(hr_temp) + scale(hr_humid) + scale(hr_dewpt),0.6928605208493543,52668.92594624814,0.0,10187616.359676016,10187971.602130214,118814373.76989304,0.0,3.6060634470840602,66.39703458766796,24.782646353901125
dur ~ C(is_hol)  + C(dow) + C(dow):scale(hr) + C(dow):scale(I(hr**2)) + C(p_LGA) + C(d_JFK) + C(d_LGA) + scale(clust_spd) + scale(total_time) + scale(day_snowdepth) + scale(hr_temp) + scale(hr_humid),0.6925033511235392,54393.7219750429,0.0,10188429.397420695,10188773.180440886,118302724.37831514,0.0,3.6027960514237556,66.25935852075919,23.60074356926982
dur ~ C(is_hol)  + C(dow) + C(dow):scale(hr) + C(dow):scale(I(hr**2)) + C(p_LGA) + C(d_JFK) + C(d_LGA) + scale(clust_spd) + scale(total_time) + scale(day_snowdepth) + scale(hr_temp),0.6923755023070867,56302.51000557894,0.0,10188719.552276656,10189051.87586284,118089262.05157825,0.0,3.6008133848080335,66.20197180219559,23.596005164427517
dur ~ C(is_hol)  + C(dow) + C(dow):scale(hr) + C(dow):scale(I(hr**3)) + C(p_LGA) + C(d_JFK) + C(d_LGA) + scale(clust_spd) + scale(total_time) + scale(day_snowdepth) + scale(hr_temp),0.6929796731504608,56462.52879579841,0.0,10187342.585100364,10187674.908686548,118721095.84321648,0.0,3.6114246722777894,66.3706006677903,18.95103873404789
dur ~ C(is_hol)  + C(dow) + C(dow):scale(hr) + C(dow):scale(I(hr**2)) + C(dow):scale(I(hr**3)) + C(p_LGA) + C(d_JFK) + C(d_LGA) + scale(clust_spd) + scale(total_time) + scale(day_snowdepth) + scale(hr_temp),0.6956537046108626,45742.914378265814,0.0,10181222.477678094,10181635.017302323,122799800.36534539,0.0,3.6510711170173167,67.454937308279,113.55451807964538
